city,neighbourhood_cleansed,total_listings,avg_occupancy,median_price,commercial_pct,licensed_pct,avg_availability,avg_reviews,occupancy_rate,total_listings_norm,avg_occupancy_norm,commercial_pct_norm,activity_score
los-angeles,Beverly Hills,1055,45.61,209.0,0.77,0.02,218.77,4.62,0.125,0.5654761904761905,0.3087138697535686,0.77,0.504
los-angeles,Beverlywood,32,47.88,136.0,0.56,0.53,202.91,4.77,0.131,0.011904761904761904,0.32483488388608767,0.56,0.247
los-angeles,Boyle Heights,119,64.86,82.0,0.71,0.34,203.65,4.76,0.178,0.058982683982683984,0.44542291030466585,0.71,0.344
los-angeles,Brentwood,230,28.1,175.0,0.54,0.28,203.33,4.77,0.077,0.11904761904761904,0.18436190611462255,0.54,0.229
los-angeles,Broadway-Manchester,25,71.52,110.0,0.56,0.36,235.36,4.63,0.196,0.008116883116883116,0.4927206874511753,0.56,0.312
los-angeles,Burbank,616,100.74,153.0,0.6,0.01,204.56,4.83,0.276,0.32792207792207795,0.7002343583552304,0.6,0.531
los-angeles,Calabasas,129,40.98,186.5,0.5,0.0,215.88,4.88,0.112,0.06439393939393939,0.2758326823379021,0.5,0.236
los-angeles,Canoga Park,100,51.2,99.5,0.61,0.54,226.13,4.84,0.14,0.048701298701298704,0.3484127547759392,0.61,0.281
los-angeles,Carson,149,61.76,102.0,0.5,0.0,216.04,4.74,0.169,0.07521645021645022,0.42340742844968393,0.5,0.299
los-angeles,Carthay,98,67.44,138.0,0.68,0.4,230.79,4.78,0.185,0.047619047619047616,0.463745472622683,0.68,0.341
los-angeles,Castaic,20,52.8,129.0,0.5,0.0,247.45,4.83,0.145,0.005411255411255411,0.35977558412044597,0.5,0.246
los-angeles,Castaic Canyons,49,33.29,185.0,0.41,0.0,225.2,4.91,0.091,0.021103896103896104,0.2212200838008664,0.41,0.179
los-angeles,Central-Alameda,33,61.94,51.0,0.85,0.15,206.85,4.94,0.17,0.012445887445887446,0.42468574675094095,0.85,0.345
los-angeles,Century City,37,77.32,190.5,0.41,0.35,203.81,4.91,0.212,0.01461038961038961,0.5339109438250124,0.41,0.301
los-angeles,Cerritos,27,67.33,77.0,0.48,0.0,207.56,4.83,0.184,0.0091991341991342,0.4629642781052482,0.48,0.285
los-angeles,Charter Oak,15,125.87,103.0,0.8,0.0,185.13,4.82,0.345,0.0027056277056277055,0.8787017967473901,0.8,0.513
los-angeles,Chatsworth,96,61.3,187.0,0.51,0.57,235.22,4.91,0.168,0.046536796536796536,0.42014061501313826,0.51,0.289
los-angeles,Chesterfield Square,17,73.47,95.0,0.24,0.47,143.24,4.7,0.201,0.003787878787878788,0.506569135714793,0.24,0.252
los-angeles,Cheviot Hills,22,32.77,200.0,0.23,0.36,152.23,4.8,0.09,0.006493506493506494,0.21752716426390173,0.23,0.136
los-angeles,Chinatown,75,21.27,168.0,0.55,0.32,222.24,4.81,0.058,0.035173160173160176,0.1358568283502592,0.55,0.178
los-angeles,Claremont,83,98.9,141.0,0.49,0.0,180.29,4.89,0.271,0.039502164502164504,0.6871671046090477,0.49,0.389
