RegionID,RegionName,StateName,State,Metro,date,rent,city
10221,Austin,TX,TX,"Austin-Round Rock-Georgetown, TX",2017-10-31,1250.2452163192163,austin
16037,Seattle,WA,WA,"Seattle-Tacoma-Bellevue, WA",2017-10-31,1816.1894332680104,seattle
6181,New York,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",2017-11-30,2727.6977445949997,new-york-city
12447,Los Angeles,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",2017-11-30,2108.0223612375244,los-angeles
17426,Chicago,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",2017-11-30,1624.9877097045146,chicago
10221,Austin,TX,TX,"Austin-Round Rock-Georgetown, TX",2017-11-30,1249.5993697356007,austin
16037,Seattle,WA,WA,"Seattle-Tacoma-Bellevue, WA",2017-11-30,1794.0790782017914,seattle
6181,New York,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",2017-12-31,2709.857866437252,new-york-city
12447,Los Angeles,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",2017-12-31,2116.4678597619,los-angeles
17426,Chicago,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",2017-12-31,1622.1327270051167,chicago
10221,Austin,TX,TX,"Austin-Round Rock-Georgetown, TX",2017-12-31,1248.7423694988004,austin
16037,Seattle,WA,WA,"Seattle-Tacoma-Bellevue, WA",2017-12-31,1785.7121023158795,seattle
6181,New York,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",2018-01-31,2707.080074322571,new-york-city
12447,Los Angeles,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",2018-01-31,2127.765868100538,los-angeles
17426,Chicago,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",2018-01-31,1631.184012518736,chicago
10221,Austin,TX,TX,"Austin-Round Rock-Georgetown, TX",2018-01-31,1248.0245586777946,austin
16037,Seattle,WA,WA,"Seattle-Tacoma-Bellevue, WA",2018-01-31,1785.1537173451256,seattle
6181,New York,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",2018-02-28,2714.504647446516,new-york-city
12447,Los Angeles,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",2018-02-28,2142.971222289654,los-angeles
17426,Chicago,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",2018-02-28,1646.842469946313,chicago
10221,Austin,TX,TX,"Austin-Round Rock-Georgetown, TX",2018-02-28,1255.2133339470677,austin
16037,Seattle,WA,WA,"Seattle-Tacoma-Bellevue, WA",2018-02-28,1794.99233237648,seattle
6181,New York,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",2018-03-31,2732.664564059588,new-york-city
12447,Los Angeles,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",2018-03-31,2150.6719542587603,los-angeles
17426,Chicago,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",2018-03-31,1660.297463709431,chicago
10221,Austin,TX,TX,"Austin-Round Rock-Georgetown, TX",2018-03-31,1262.2880665334872,austin
16037,Seattle,WA,WA,"Seattle-Tacoma-Bellevue, WA",2018-03-31,1803.8915382283792,seattle
6181,New York,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",2018-04-30,2755.2586897861656,new-york-city
12447,Los Angeles,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",2018-04-30,2157.6933083072536,los-angeles
17426,Chicago,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",2018-04-30,1673.1450451865735,chicago
10221,Austin,TX,TX,"Austin-Round Rock-Georgetown, TX",2018-04-30,1274.170830508271,austin
16037,Seattle,WA,WA,"Seattle-Tacoma-Bellevue, WA",2018-04-30,1819.9790897339567,seattle
6181,New York,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",2018-05-31,2779.950664236625,new-york-city
12447,Los Angeles,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",2018-05-31,2163.337422126576,los-angeles
17426,Chicago,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",2018-05-31,1684.600681057948,chicago
10221,Austin,TX,TX,"Austin-Round Rock-Georgetown, TX",2018-05-31,1280.227249527752,austin
16037,Seattle,WA,WA,"Seattle-Tacoma-Bellevue, WA",2018-05-31,1837.3388883546663,seattle
6181,New York,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",2018-06-30,2801.1103624739803,new-york-city
12447,Los Angeles,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",2018-06-30,2180.5881237074295,los-angeles
17426,Chicago,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",2018-06-30,1696.392553961077,chicago
10221,Austin,TX,TX,"Austin-Round Rock-Georgetown, TX",2018-06-30,1290.769994510464,austin
16037,Seattle,WA,WA,"Seattle-Tacoma-Bellevue, WA",2018-06-30,1855.0406797284463,seattle
6181,New York,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",2018-07-31,2817.040923502559,new-york-city
12447,Los Angeles,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",2018-07-31,2194.2791988765466,los-angeles
17426,Chicago,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",2018-07-31,1701.8333558268898,chicago
10221,Austin,TX,TX,"Austin-Round Rock-Georgetown, TX",2018-07-31,1299.6455397361333,austin
16037,Seattle,WA,WA,"Seattle-Tacoma-Bellevue, WA",2018-07-31,1862.8258708503668,seattle
6181,New York,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",2018-08-31,2826.975800083926,new-york-city
12447,Los Angeles,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",2018-08-31,2206.6738675708525,los-angeles
17426,Chicago,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",2018-08-31,1697.3624924449066,chicago
10221,Austin,TX,TX,"Austin-Round Rock-Georgetown, TX",2018-08-31,1304.604277949799,austin
16037,Seattle,WA,WA,"Seattle-Tacoma-Bellevue, WA",2018-08-31,1865.6852833046255,seattle
6181,New York,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",2018-09-30,2827.903458574359,new-york-city
12447,Los Angeles,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",2018-09-30,2210.16214555288,los-angeles
17426,Chicago,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",2018-09-30,1681.2453513511032,chicago
10221,Austin,TX,TX,"Austin-Round Rock-Georgetown, TX",2018-09-30,1303.3768635525448,austin
16037,Seattle,WA,WA,"Seattle-Tacoma-Bellevue, WA",2018-09-30,1856.945102392368,seattle
6181,New York,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",2018-10-31,2816.1314440283886,new-york-city
12447,Los Angeles,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",2018-10-31,2212.7184968738115,los-angeles
17426,Chicago,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",2018-10-31,1664.7675096051842,chicago
10221,Austin,TX,TX,"Austin-Round Rock-Georgetown, TX",2018-10-31,1304.4860398448625,austin
16037,Seattle,WA,WA,"Seattle-Tacoma-Bellevue, WA",2018-10-31,1842.809181625589,seattle
6181,New York,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",2018-11-30,2799.6444372259252,new-york-city
12447,Los Angeles,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",2018-11-30,2215.952490492217,los-angeles
17426,Chicago,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",2018-11-30,1653.8442280929924,chicago
10221,Austin,TX,TX,"Austin-Round Rock-Georgetown, TX",2018-11-30,1310.423659970104,austin
16037,Seattle,WA,WA,"Seattle-Tacoma-Bellevue, WA",2018-11-30,1832.1139466953537,seattle
6181,New York,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",2018-12-31,2783.666827838918,new-york-city
12447,Los Angeles,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",2018-12-31,2222.7481534114163,los-angeles
17426,Chicago,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",2018-12-31,1655.676703870828,chicago
10221,Austin,TX,TX,"Austin-Round Rock-Georgetown, TX",2018-12-31,1312.3472073977466,austin
16037,Seattle,WA,WA,"Seattle-Tacoma-Bellevue, WA",2018-12-31,1827.0597414352685,seattle
6181,New York,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",2019-01-31,2778.97806989283,new-york-city
12447,Los Angeles,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",2019-01-31,2227.0695350600604,los-angeles
17426,Chicago,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",2019-01-31,1667.7806614346496,chicago
10221,Austin,TX,TX,"Austin-Round Rock-Georgetown, TX",2019-01-31,1314.437549777297,austin
